 ,Animal ID,Kennel #,Name,Description,Sex,Age,S/N,FIS,Intake,,Available,Last Day,Outcome,Applications,,,Animal ID,Kennel #,Name,Breed,Description,Sex,Age,S/N,FIS,Intake,,Available,Last Day,Notes,Applications
X,A124749,K18,Fraulein,DSH Brw Tabby W/Wht,Female,Adult,,Y,Stray,28138,9/28/2020,10/3/2020,,,,,,,,,,,,,,,,,,,
X,A124782,K17,Brogan,DSH Brn Tab,Male,Adult,,Y,Stray,28081,10/2/2020,10/8/2020,,,,,,,,,,,,,,,,,,,
X,A124797,K6,Merica,DSH Silver Tab,Male,Adult,,Y,Stray,28023,10/3/2020,10/9/2020,,,,,,,,,,,,,,,,,,,
X,A124800,K5,Momma Kat,DSH Dilute Torti,Female,Adult,,Y,Stray,28144,10/3/2020,10/9/2020,,,,,,,,,,,,,,,,,,,
X,A124661,Q25,Mellow,DSH Blk/Wht,Male,Adult,,Y,Stray,28146,10/6/2020,10/13/2020,Rescue Only,,,,,,,,,,,,,,,,,,
X,A124862,K8,Blackie,DSH Black,Female,Adult,,Y,Owner,,10/5/2020,10/15/2020,,,,,,,,,,,,,,,,,,,
X,A124870,K7,Vampie,DSH Gry Tabby,Female,Adult,,Y,Stray,28146,10/9/2020,10/15/2020,,,,,,,,,,,,,,,,,,,
X,A124877,Iso 23,DY,DSH Gray Tabby/Wht,Male,Adult,No,,Stray,28146,10/9/2020,10/15/2020,Rescue Only,,,,,,,,,,,,,,,,,,
X,A124873,Iso 8,Pumpkin Bread,DSH Org Tabby/Wht,Male,Adult,No,,Stray,28081,10/10/2020,10/13/2020,Rescue Only,,,,,,,,,,,,,,,,,,
X,A124875,Iso 22,Autumn,DSH Orange Tabby,Female,Adult,No,,Stray,28081,10/10/2020,10/13/2020,Rescue Only,,,,,,,,,,,,,,,,,,
X,A124888,K19,Everest,Dsh Torbi,Female,9 mo,,Y,Stray,28146,10/12/2020,10/17/2020,,,,,,,,,,,,,,,,,,,
X,A124898,Iso 9,Girly,DSH Gry Tabby,Female,9 wk,No,,Owner,,10/8/2020,10/15/2020,Rescue Only,,,,,,,,,,,,,,,,,,
X,A124903,K20,Ma,DSH Orange Tabby,Female,Adult,,Y,Owner,,10/8/2020,10/19/2020,,,,,,,,,,,,,,,,,,,
X,A124897,K23,Gold,DSH Orange Tabby,Female,Adult,,Y,Stray,28083,10/13/2020,10/19/2020,,,,,,,,,,,,,,,,,,,
X,A124919,A12,Maverick,DSH Gry Tabby W/Wht,Male,4 Mo,,Y,Stray,28146,10/14/2020,10/19/2020,,,,,,,,,,,,,,,,,,,
X,A124920,Iso 27,Maci,DSH Cream Tabby,Female,Adult,No,,Stray,28146,10/14/2020,10/19/2020,,,,,,,,,,,,,,,,,,,
X,A124921,K4,Myers,DSH Gry Tabby W/Wht,Male,Adult,,Y,Stray,28146,10/14/2020,10/19/2020,,,,,,,,,,,,,,,,,,,
X,A124924,K3,Sicilian,DMH Torbi,Female,Adult,,Y,Stray,23081,10/14/2020,10/19/2020,,,,,,,,,,,,,,,,,,,
X,A124942,Iso 6,Nebu ,DSH Gry Tab,Male,Adult,Yes,,Stray,28146,10/16/2020,10/20/2020,Rescue Only,,,,,,,,,,,,,,,,,,
X,A124949,Iso 7,Gabby Gabby,DSH Gray Tabby,Female,6 Mo,No,,Stray,28146,10/17/2020,10/24/2020,,,,,,,,,,,,,,,,,,,
X,A124960,K22,Cha Cha,DSH Brn Tab/Wht,Female,Adult,No,,Stray,28147,10/19/2020,10/26/2020,Rescue Only,,,,,,,,,,,,,,,,,,
X,A124964,K21,Argo,DSH Blk/Wht,Male,Adult,,Y,Stray,28146,10/19/2020,10/26/2020,,,,,,,,,,,,,,,,,,,
X,A124970,K11,Fuzzy,DSH Gry Tab/Wht,Female,Adult,,Y,Stray,28146,10/20/2020,10/27/2020,,,,,,,,,,,,,,,,,,,
X,A125001,A22,Chuck,DSH Gray,Male,Adult,,Y,Stray,28138,10/20/2020,10/27/2020,,,,,,,,,,,,,,,,,,,
X,A125016,S7,Beverly,DSH Gry Tabby,Female,Adult,No,,Stray,28147,10/23/2020,10/29/2020,,,,,,,,,,,,,,,,,,,
X,A125018,S20,Twitch,DSH Blue/Wht,Female,Adult,No,,Stray,28146,10/23/2020,10/29/20,,,,,,,,,,,,,,,,,,,
X,A125028,S24,Lucy,DSH Orange/Wht,Female,8 wks,No,,Stray,28083,10/24/2020,10/30/2020,,,,,,,,,,,,,,,,,,,
X,A125029,S25,Little Debbie,DMH Blk/Wht,Female,11 wks,No,,Stray,28083,10/24/2020,10/30/2020,,,,,,,,,,,,,,,,,,,
X,A125039,S10,Willa,DSH Torti W/Wht,Female,Adult,No,,Stray,28146,10/26/2020,10/31/2020,,,,,,,,,,,,,,,,,,,
X,A125038,S6,Toby,DSH Cream Tabby,Male,5 mo,No,,Stray,28146,10/26/2020,10/31/2020,,,,,,,,,,,,,,,,,,,
X,A125042,S8,BJ Barackus,DSH Gray Tabby,Male,Adult,No,,Stray,28013,10/26/2020,10/31/2020,,,,,,,,,,,,,,,,,,,
X,A125045,K9,Felicia,DSH Gray Tabby,Female,Adult,No,,Owner,,10/21/2020,10/31/2020,,,,,,,,,,,,,,,,,,,
X,A125040,A16,Deetz,DSH Gray/Wht,Male,9 wk,No,,Owner,,10/21/2020,10/31/2020,,,,,,,,,,,,,,,,,,,
X,A125041,A16,Feona,DSH Blk/Wht,Female,9 wk,No,,Owner,,10/21/2020,10/31/2020,,,,,,,,,,,,,,,,,,,
X,A125043,A16,Force,DSH Blk/Wht,Male,9 wk,No,,Owner,,10/21/2020,10/31/2020,,,,,,,,,,,,,,,,,,,
X,A125052,A11,Egor,DSH Blk/Wht,Male,9 Mo,No,,Owner,,10/21/2020,10/31/2020,,,,,,,,,,,,,,,,,,,
X,A125050,S23,Snow,DSH Wht/Blk,Male,Adult,No,,Stray,28083,10/26/2020,10/31/2020,,,,,,,,,,,,,,,,,,,
X,A125057,Iso 11,Cricket,DSH Torti,Female,4 mths,No,,Owner,,10/22/2020,10/29/2020,Rescue Only,,,,,,,,,,,,,,,,,,
X,A125058,Iso 1,Cupcake,DSH Torti,Female,4 mths,No,,Owner,,10/22/2020,10/29/2020,Rescue Only,,,,,,,,,,,,,,,,,,
X,A125061,Iso 25,Brownie,DSH Torti,Female,4 mths,No,,Owner,,10/22/2020,10/29/2020,Rescue Only,,,,,,,,,,,,,,,,,,
X,A125063,Iso 13,Dallas,DSH Blue Smoke,Male,Adult,No,,Owner,,10/22/2020,10/29/2020,Rescue Only,,,,,,,,,,,,,,,,,,
X,A125065,Iso 12,Candy,DSH Dilute Torti,Female,Adult,No,,Owner,,10/22/2020,10/29/2020,Rescue Only,,,,,,,,,,,,,,,,,,
X,A125066,Iso 14,Grace,DSH Blue Pt,Female,Adult,No,,Owner,,10/22/2020,10/29/2020,Rescue Only,,,,,,,,,,,,,,,,,,
X,A125067,Iso 26,Honey,DSH Blue Pt,Female,Adult,No,,Owner,,10/22/2020,10/29/2020,Rescue Only,,,,,,,,,,,,,,,,,,
X,A125068,Iso 2,Elmo,DSH Blk/Wht,Male,Adult,No,,Owner,,10/22/2020,10/29/2020,Rescue Only,,,,,,,,,,,,,,,,,,
X,A125069,Iso 18,Homer,DSH Blk/Wht,Male,12 wks,No,,Owner,,10/22/2020,10/29/2020,Rescue Only,,,,,,,,,,,,,,,,,,
X,A125070,Iso 18,LadyBug,DSH Blue Pt,Female,12 wks,No,,Owner,,10/22/2020,10/29/2020,Rescue Only,,,,,,,,,,,,,,,,,,
X,A125076,S21,Roger Dodger,DMH Blk/Wht,Male,6 wks,No,,Stray,28146,10/27/2020,11/2/2020,,,,,,,,,,,,,,,,,,,